Candidate, "Poll No.", Votes
Ashe, 046, , 58 , 0 , 68 , 5 , 13
Carvalho, 046, , 58 , 0 , 68 , 5 , 13
Dickson, 046, , 58 , 0 , 68 , 5 , 13
Thavarajasoorier, 046, , 58 , 0 , 68 , 5 , 13
Willert, 046, , 58 , 0 , 68 , 5 , 13

Ashe, 047, , 51 , 3 , 82 , 17 , 9
Carvalho, 047, , 51 , 3 , 82 , 17 , 9
Dickson, 047, , 51 , 3 , 82 , 17 , 9
Thavarajasoorier, 047, , 51 , 3 , 82 , 17 , 9
Willert, 047, , 51 , 3 , 82 , 17 , 9

Ashe, 048, , 42 , 2 , 36 , 13 , 1
Carvalho, 048, , 42 , 2 , 36 , 13 , 1
Dickson, 048, , 42 , 2 , 36 , 13 , 1
Thavarajasoorier, 048, , 42 , 2 , 36 , 13 , 1
Willert, 048, , 42 , 2 , 36 , 13 , 1

Ashe, 049, , 63 , 0 , 112 , 6 , 6
Carvalho, 049, , 63 , 0 , 112 , 6 , 6
Dickson, 049, , 63 , 0 , 112 , 6 , 6
Thavarajasoorier, 049, , 63 , 0 , 112 , 6 , 6
Willert, 049, , 63 , 0 , 112 , 6 , 6

Ashe, 050, , 104 , 1 , 93 , 18 , 12
Carvalho, 050, , 104 , 1 , 93 , 18 , 12
Dickson, 050, , 104 , 1 , 93 , 18 , 12
Thavarajasoorier, 050, , 104 , 1 , 93 , 18 , 12
Willert, 050, , 104 , 1 , 93 , 18 , 12

Ashe, 051, , 86 , 3 , 113 , 19 , 13
Carvalho, 051, , 86 , 3 , 113 , 19 , 13
Dickson, 051, , 86 , 3 , 113 , 19 , 13
Thavarajasoorier, 051, , 86 , 3 , 113 , 19 , 13
Willert, 051, , 86 , 3 , 113 , 19 , 13

Ashe, 052, , 54 , 1 , 116 , 8 , 6
Carvalho, 052, , 54 , 1 , 116 , 8 , 6
Dickson, 052, , 54 , 1 , 116 , 8 , 6
Thavarajasoorier, 052, , 54 , 1 , 116 , 8 , 6
Willert, 052, , 54 , 1 , 116 , 8 , 6

Ashe, Ashe, 053, , 65 , 2 , 97 , 7 , 10
Carvalho, 053, , 65 , 2 , 97 , 7 , 10
Dickson, 053, , 65 , 2 , 97 , 7 , 10
Thavarajasoorier, 053, , 65 , 2 , 97 , 7 , 10
Willert, 053, , 65 , 2 , 97 , 7 , 10

Ashe, 054, , 76 , 2 , 96 , 12 , 9
Carvalho, 054, , 76 , 2 , 96 , 12 , 9
Dickson, 054, , 76 , 2 , 96 , 12 , 9
Thavarajasoorier, 054, , 76 , 2 , 96 , 12 , 9
Willert, 054, , 76 , 2 , 96 , 12 , 9

Ashe, 055, , 67 , 5 , 101 , 21 , 13
Carvalho, 055, , 67 , 5 , 101 , 21 , 13
Dickson, 055, , 67 , 5 , 101 , 21 , 13
Thavarajasoorier, 055, , 67 , 5 , 101 , 21 , 13
Willert, 055, , 67 , 5 , 101 , 21 , 13

Ashe, 056, , 38 , 2 , 120 , 24 , 7
Carvalho, 056, , 38 , 2 , 120 , 24 , 7
Dickson, 056, , 38 , 2 , 120 , 24 , 7
Thavarajasoorier, 056, , 38 , 2 , 120 , 24 , 7
Willert, 056, , 38 , 2 , 120 , 24 , 7

Ashe, 057, , 70 , 2 , 90 , 16 , 6
Carvalho, 057, , 70 , 2 , 90 , 16 , 6
Dickson, 057, , 70 , 2 , 90 , 16 , 6
Thavarajasoorier, 057, , 70 , 2 , 90 , 16 , 6
Willert, 057, , 70 , 2 , 90 , 16 , 6

Ashe, 058, , 58 , 3 , 152 , 15 , 9
Carvalho, 058, , 58 , 3 , 152 , 15 , 9
Dickson, 058, , 58 , 3 , 152 , 15 , 9
Thavarajasoorier, 058, , 58 , 3 , 152 , 15 , 9
Willert, 058, , 58 , 3 , 152 , 15 , 9

Ashe, 059, , 78 , 0 , 127 , 13 , 18
Carvalho, 059, , 78 , 0 , 127 , 13 , 18
Dickson, 059, , 78 , 0 , 127 , 13 , 18
Thavarajasoorier, 059, , 78 , 0 , 127 , 13 , 18
Willert, 059, , 78 , 0 , 127 , 13 , 18

Ashe, 060, , 57 , 1 , 128 , 6 , 14
Carvalho, 060, , 57 , 1 , 128 , 6 , 14
Dickson, 060, , 57 , 1 , 128 , 6 , 14
Thavarajasoorier, 060, , 57 , 1 , 128 , 6 , 14
Willert, 060, , 57 , 1 , 128 , 6 , 14

Ashe, 061, , 83 , 2 , 133 , 14 , 12
Carvalho, 061, , 83 , 2 , 133 , 14 , 12
Dickson, 061, , 83 , 2 , 133 , 14 , 12
Thavarajasoorier, 061, , 83 , 2 , 133 , 14 , 12
Willert, 061, , 83 , 2 , 133 , 14 , 12

Ashe, 062, , 51 , 2 , 77 , 12 , 5
Carvalho, 062, , 51 , 2 , 77 , 12 , 5
Dickson, 062, , 51 , 2 , 77 , 12 , 5
Thavarajasoorier, 062, , 51 , 2 , 77 , 12 , 5
Willert, 062, , 51 , 2 , 77 , 12 , 5

Ashe, 063, , 62 , 0 , 92 , 13 , 7
Carvalho, 063, , 62 , 0 , 92 , 13 , 7
Dickson, 063, , 62 , 0 , 92 , 13 , 7
Thavarajasoorier, 063, , 62 , 0 , 92 , 13 , 7
Willert, 063, , 62 , 0 , 92 , 13 , 7

Ashe, 064, , 49 , 1 , 78 , 13 , 15
Carvalho, 064, , 49 , 1 , 78 , 13 , 15
Dickson, 064, , 49 , 1 , 78 , 13 , 15
Thavarajasoorier, 064, , 49 , 1 , 78 , 13 , 15
Willert, 064, , 49 , 1 , 78 , 13 , 15

Ashe, 065, , 59 , 2 , 93 , 11 , 11
